stage,stage_id,case_id,pitch_cp_0,pitch_cp_1,pitch_cp_2,pitch_cp_3,pitch_cp_4,pitch_cp_5,chord_cp_0,chord_cp_1,chord_cp_2,chord_cp_3,chord_cp_4,failed
infill1,1,25,1.210974104,1.0,0.5426778491,0.4265860819,0.5,0.7,0.2374670848,0.45,0.5,0.416153785,0.2895870117,1
infill1,1,26,1.063051205,1.0,0.7172833798,0.15,0.5,0.7,0.2929122171,0.85,0.3816088825,0.4156229097,0.3,1
infill1,1,27,1.25,1.0,0.3641945961,0.4636111577,0.5,0.7,0.2450082367,0.6879617282,0.5,0.4705264668,0.1464867203,0
infill1,1,28,1.191031674,1.0,0.75,0.5,0.3992093374,0.4,0.3,0.85,0.5,0.4,0.3,1
infill1,1,29,1.169747773,1.0,0.75,0.5,0.5,0.4,0.3,0.45,0.5,0.4,0.3,0
infill1,1,30,1.25,0.05,0.75,0.15,0.15,0.7,0.3,0.45,0.15,0.4,0.3,0
infill1,1,31,1.25,0.05,0.35,0.5,0.15,0.7,0.2673980302,0.85,0.432457503,0.7,0.1,0
infill1,1,32,1.25,0.05,0.35,0.15,0.15,0.4,0.2,0.4692641817,0.15,0.4,0.1,0
infill1,1,33,1.25,0.05,0.75,0.3142691624,0.15,0.4,0.2,0.45,0.1564130871,0.7,0.3,1
infill1,1,34,1.25,0.05,0.75,0.15,0.5,0.4,0.3,0.45,0.3145185079,0.4,0.1,1
infill1,1,35,1.25,0.05,0.6531621512,0.5,0.5,0.4,0.209115426,0.7142578784,0.5,0.7,0.2209607674,0
infill1,1,36,0.8,0.05,0.35,0.5,0.15,0.7,0.3,0.5385884883,0.15,0.4,0.2983337042,1
infill1,1,37,0.8,0.05,0.3702818079,0.5,0.15,0.7,0.2,0.45,0.3012413052,0.7,0.3,0
infill1,1,38,0.8,0.05,0.4682442516,0.5,0.15,0.4,0.2011869111,0.643537143,0.5,0.4,0.1,0
infill1,1,39,1.25,0.05,0.75,0.3234627895,0.5,0.7,0.3,0.45,0.15,0.4,0.1,0
